	pmid	refid1	refid2	reltype	concept_pair	user_count	evtype	relation_count	test_completions	true_responses	response_ratio	refid1_type	refid2_type
1472	18615337	8086	D009133	g_d	8086_x_D009133	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
1474	18615337	8086	D009134	g_d	8086_x_D009134	18	gene has no relation to disease	10	0.0	18	0.5555555555555556	g	d
1480	18615337	8086	D018908	g_d	8086_x_D018908	18	gene mutation is/may be associated with disease	7	0.0	18	0.3888888888888889	g	d
1483	18628786	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1484	18628786	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1487	18628786	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
1489	18628786	8086	D004931	g_d	8086_x_D004931	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d
1490	18628786	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1491	18628786	8086	D010523	g_d	8086_x_D010523	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d
1493	18642944	D009844	D010051	c_d	D009844_x_D010051	15	c_1_broken	13	1.0	14	0.9285714285714286	c	d
1495	18712764	C057651	D018981	c_d	C057651_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1497	18712764	D011134	D005633	c_d	D011134_x_D005633	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1499	18773310	D003035	D010300	c_d	D003035_x_D010300	16	c_1_broken	13	0.0	16	0.8125	c	d
1501	18773310	D006540	D010300	c_d	D006540_x_D010300	15	c_1_broken	7	0.0	15	0.4666666666666667	c	d
1506	19011102	D010100	D006467	c_d	D010100_x_D006467	16	c_1_broken	14	0.0	16	0.875	c	d
1509	19078797	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1512	19078797	8086	C536009	g_d	8086_x_C536009	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d
1515	19078797	8086	C566307	g_d	8086_x_C566307	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1517	19078797	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1520	19078797	8086	D000690	g_d	8086_x_D000690	15	gene mutation is/may be associated with disease	7	0.0	15	0.4666666666666667	g	d
1522	19078797	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1525	19078797	8086	D009896	g_d	8086_x_D009896	17	gene mutation is/may be associated with disease	13	0.0	17	0.7647058823529411	g	d
1529	19078797	8086	D025063	g_d	8086_x_D025063	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1534	19078797	8086	D030342	g_d	8086_x_D030342	16	gene mutation is/may be associated with disease	11	0.0	16	0.6875	g	d
1540	19101627	D006493	C535740	c_d	D006493_x_C535740	15	drug (may) treat(s) disease	13	0.0	15	0.8666666666666667	c	d
1542	19101627	D006493	C538273	c_d	D006493_x_C538273	15	drug (may) treat(s) disease	14	0.0	15	0.9333333333333332	c	d
1544	19101627	D006493	C566029	c_d	D006493_x_C566029	16	drug (may) treat(s) disease	12	0.0	16	0.75	c	d
1547	19101627	D006493	D006946	c_d	D006493_x_D006946	15	drug (may) treat(s) disease	7	0.0	15	0.4666666666666667	c	d
1550	19101627	D006493	D008107	c_d	D006493_x_D008107	15	drug (may) treat(s) disease	9	0.0	15	0.6	c	d
1553	19101627	D006493	D013927	c_d	D006493_x_D013927	15	drug (may) treat(s) disease	9	0.0	15	0.6	c	d
1556	19114101	C014088	D058494	c_d	C014088_x_D058494	15	c_1_broken	12	0.0	15	0.8	c	d
1560	19114101	C412896	D058494	c_d	C412896_x_D058494	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1562	19114101	D003401	D058494	c_d	D003401_x_D058494	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1565	19146845	D007501	D018981	c_d	D007501_x_D018981	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
1569	19172509	668	C536480	g_d	668_x_C536480	24	c_1_broken	17	1.0	23	0.7391304347826086	g	d
1574	19172511	8086	C535922	g_d	8086_x_C535922	20	gene mutation is/may be associated with disease	15	0.0	20	0.75	g	d
1577	19172511	8086	C536008	g_d	8086_x_C536008	21	gene mutation is/may be associated with disease	19	1.0	20	0.95	g	d
1579	19172511	8086	C536009	g_d	8086_x_C536009	21	gene mutation is/may be associated with disease	19	0.0	21	0.9047619047619048	g	d
1581	19172511	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d
1583	19172511	8086	D000310	g_d	8086_x_D000310	20	gene mutation is/may be associated with disease	16	0.0	20	0.8	g	d
1586	19172511	8086	D004931	g_d	8086_x_D004931	21	gene mutation is/may be associated with disease	19	1.0	20	0.95	g	d
1587	19172511	8086	D009384	g_d	8086_x_D009384	22	c_2_broken	12	0.0	22	0.5454545454545454	g	d
1592	19172511	8086	D009422	g_d	8086_x_D009422	21	gene mutation is/may be associated with disease	18	0.0	21	0.8571428571428571	g	d
1593	19172511	8086	D009461	g_d	8086_x_D009461	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1595	19172511	8086	D009711	g_c	8086_x_D009711	21	c_2_broken	16	0.0	21	0.7619047619047619	g	c
1599	19172511	8086	D009896	g_d	8086_x_D009896	21	gene mutation is/may be associated with disease	18	1.0	20	0.9	g	d
1601	19172511	8086	D020734	g_d	8086_x_D020734	21	gene mutation is/may be associated with disease	14	1.0	20	0.7	g	d
1603	19172511	D009711	D009384	c_d	D009711_x_D009384	16	c_1_broken	10	0.0	16	0.625	c	d
1606	19251655	C047902	D006069	c_d	C047902_x_D006069	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1608	19251655	C061951	D006069	c_d	C061951_x_D006069	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1610	19251655	D000596	D006069	c_d	D000596_x_D006069	15	c_1_broken	12	0.0	15	0.8	c	d
1614	19322026	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	10	2.0	13	0.7692307692307693	g	d
1616	19322026	8086	D006527	g_d	8086_x_D006527	18	c_2_broken	13	2.0	16	0.8125	g	d
1618	19322026	8086	D010900	g_d	8086_x_D010900	15	c_2_broken	11	2.0	13	0.8461538461538461	g	d
1622	19322026	8086	D020022	g_d	8086_x_D020022	15	gene mutation is/may be associated with disease	9	2.0	13	0.6923076923076923	g	d
1624	19322026	8086	D030342	g_d	8086_x_D030342	15	c_1_broken	12	0.0	15	0.8	g	d
1631	19346129	D000109	D002493	c_d	D000109_x_D002493	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1634	19583945	C084077	D003920	c_d	C084077_x_D003920	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1637	19583945	D005947	D003920	c_d	D005947_x_D003920	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
1640	19608465	C057651	D018981	c_d	C057651_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1643	19608465	C519074	D018981	c_d	C519074_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1646	19608465	C519691	D018981	c_d	C519691_x_D018981	15	c_1_broken	12	0.0	15	0.8	c	d
1650	19651599	C509690	D018981	c_d	C509690_x_D018981	15	c_1_broken	12	0.0	15	0.8	c	d
1654	19729382	C013059	C567437	c_d	C013059_x_C567437	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1656	19880638	D007501	D064420	c_d	D007501_x_D064420	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
1662	19996411	C016467	D010538	c_d	C016467_x_D010538	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
1666	19996411	C032233	D010538	c_d	C032233_x_D010538	15	c_1_broken	15	0.0	15	1.0	c	d
1667	19996411	D013864	D010538	c_d	D013864_x_D010538	15	c_1_broken	12	0.0	15	0.8	c	d
1669	19996411	D019087	D010538	c_d	D019087_x_D010538	15	c_1_broken	15	0.0	15	1.0	c	d
1673	20051279	5443	C536008	g_d	5443_x_C536008	15	gene relates to disease	5	0.0	15	0.3333333333333333	g	d
1676	20051279	5443	D003929	g_d	5443_x_D003929	15	gene has no relation to disease	5	0.0	15	0.3333333333333333	g	d
1680	20051279	5443	D009422	g_d	5443_x_D009422	16	gene has no relation to disease	7	0.0	16	0.4375	g	d
1685	20051279	5443	D020361	g_d	5443_x_D020361	15	gene mutation is/may be associated with disease	5	0.0	15	0.3333333333333333	g	d
1687	20051279	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	15	1.0	15	1.0	g	d
1689	20051279	8086	C536009	g_d	8086_x_C536009	16	gene mutation is/may be associated with disease	7	1.0	15	0.4666666666666667	g	d
1693	20051279	8086	C537301	g_d	8086_x_C537301	16	gene mutation is/may be associated with disease	11	0.0	16	0.6875	g	d
1697	20051279	8086	D000309	g_d	8086_x_D000309	16	gene mutation is/may be associated with disease	12	1.0	15	0.8	g	d
1699	20051279	8086	D003929	g_d	8086_x_D003929	16	gene mutation is/may be associated with disease	11	1.0	15	0.7333333333333333	g	d
1702	20051279	8086	D009422	g_d	8086_x_D009422	16	gene mutation is/may be associated with disease	12	0.0	16	0.75	g	d
1706	20051279	8086	D020361	g_d	8086_x_D020361	16	gene mutation is/may be associated with disease	13	1.0	15	0.8666666666666667	g	d
1709	20051279	8086	D025063	g_d	8086_x_D025063	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1710	20186922	C498978	D019636	c_d	C498978_x_D019636	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1713	20186922	C544092	D019636	c_d	C544092_x_D019636	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1715	20186922	D010100	D019636	c_d	D010100_x_D019636	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1719	20200814	5443	C536009	g_d	5443_x_C536009	15	gene has no relation to disease	6	0.0	15	0.4	g	d
1727	20200814	5443	D000309	g_d	5443_x_D000309	15	gene relates to disease	5	0.0	15	0.3333333333333333	g	d
1729	20200814	5443	D004931	g_d	5443_x_D004931	15	gene has no relation to disease	7	0.0	15	0.4666666666666667	g	d
1733	20200814	5443	D009422	g_d	5443_x_D009422	15	gene has no relation to disease	5	0.0	15	0.3333333333333333	g	d
1737	20200814	5443	D020361	g_d	5443_x_D020361	15	gene has no relation to disease	7	0.0	15	0.4666666666666667	g	d
1742	20200814	5443	D025063	g_d	5443_x_D025063	15	gene mutation is/may be associated with disease	5	0.0	15	0.3333333333333333	g	d
1744	20200814	8086	C536008	g_d	8086_x_C536008	15	c_2_broken	8	0.0	15	0.5333333333333333	g	d
1747	20200814	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1748	20200814	8086	C538339	g_d	8086_x_C538339	15	c_2_broken	14	0.0	15	0.9333333333333332	g	d
1751	20200814	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1752	20200814	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1754	20200814	8086	D009422	g_d	8086_x_D009422	16	gene mutation is/may be associated with disease	14	0.0	16	0.875	g	d
1756	20200814	8086	D009461	g_d	8086_x_D009461	15	c_2_broken	14	0.0	15	0.9333333333333332	g	d
1760	20200814	8086	D020361	g_d	8086_x_D020361	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1762	20200814	8086	D025063	g_d	8086_x_D025063	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
1767	20447614	4072	613217	g_d	4072_x_613217	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
1768	20447614	4072	C536009	g_d	4072_x_C536009	15	gene has no relation to disease	7	0.0	15	0.4666666666666667	g	d
1771	20447614	4072	C537470	g_d	4072_x_C537470	15	gene has no relation to disease	8	0.0	15	0.5333333333333333	g	d
1776	20447614	4072	C562827	g_d	4072_x_C562827	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
1778	20447614	4072	C567703	g_d	4072_x_C567703	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
1780	20447614	4072	D002386	g_d	4072_x_D002386	15	gene has no relation to disease	9	0.0	15	0.6	g	d
1783	20447614	4072	D003231	g_d	4072_x_D003231	15	gene mutation is/may be associated with disease	9	0.0	15	0.6	g	d
1786	20447614	4072	D003967	g_d	4072_x_D003967	22	gene mutation is/may be associated with disease	17	0.0	22	0.7727272727272727	g	d
1790	20447614	4072	D005355	g_d	4072_x_D005355	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1793	20447614	4072	D005767	g_d	4072_x_D005767	15	gene mutation is/may be associated with disease	8	0.0	15	0.5333333333333333	g	d
1795	20447614	4072	D006940	g_d	4072_x_D006940	15	gene mutation is/may be associated with disease	8	0.0	15	0.5333333333333333	g	d
1798	20447614	4072	D006965	g_d	4072_x_D006965	15	gene mutation is/may be associated with disease	6	0.0	15	0.4	g	d
1800	20447614	4072	D007634	g_d	4072_x_D007634	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
1801	20447614	4072	D010241	g_d	4072_x_D010241	15	gene has no relation to disease	8	0.0	15	0.5333333333333333	g	d
1805	20499090	5443	256600	g_d	5443_x_256600	15	gene mutation is/may be associated with disease	6	0.0	15	0.4	g	d
1810	20499090	5443	C536008	g_d	5443_x_C536008	15	gene relates to disease	6	0.0	15	0.4	g	d
1811	20499090	5443	D013958	g_d	5443_x_D013958	17	c_1_broken	6	0.0	17	0.35294117647058826	g	d
1818	20499090	5443	D020361	g_d	5443_x_D020361	15	gene has no relation to disease	5	0.0	15	0.3333333333333333	g	d
1823	20499090	8086	256600	g_d	8086_x_256600	16	gene mutation is/may be associated with disease	13	0.0	16	0.8125	g	d
1824	20499090	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d
1827	20499090	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	8	0.0	15	0.5333333333333333	g	d
1829	20499090	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1830	20499090	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1833	20499090	8086	D013958	g_d	8086_x_D013958	16	gene mutation is/may be associated with disease	13	0.0	16	0.8125	g	d
1835	20499090	8086	D020361	g_d	8086_x_D020361	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d
1837	20499090	8086	D025063	g_d	8086_x_D025063	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1838	20499090	8086	D054990	g_d	8086_x_D054990	15	c_2_broken	14	0.0	15	0.9333333333333332	g	d
1840	20523973	D012964	D018981	c_d	D012964_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1843	20631728	C013059	D012878	c_d	C013059_x_D012878	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1846	20631728	C443716	D012878	c_d	C443716_x_D012878	16	c_1_broken	13	0.0	16	0.8125	c	d
1849	20631728	D051183	D012878	c_d	D051183_x_D012878	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1852	20926387	D006150	D012769	c_d	D006150_x_D012769	15	c_1_broken	12	0.0	15	0.8	c	d
1856	20931227	8086	C535883	g_d	8086_x_C535883	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
1857	20931227	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1859	20931227	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1860	20931227	8086	C537050	g_d	8086_x_C537050	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d
1862	20931227	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
1864	20931227	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1867	20931227	8086	D000310	g_d	8086_x_D000310	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
1868	20931227	8086	D000312	g_d	8086_x_D000312	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
1870	20931227	8086	D002607	g_d	8086_x_D002607	15	gene has no relation to disease	13	0.0	15	0.8666666666666667	g	d
1873	20931227	8086	D002658	g_d	8086_x_D002658	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1876	20931227	8086	D003711	g_d	8086_x_D003711	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
1877	20931227	8086	D009386	g_d	8086_x_D009386	15	c_2_broken	7	0.0	15	0.4666666666666667	g	d
1882	20931227	8086	D009422	g_d	8086_x_D009422	15	gene mutation is/may be associated with disease	9	0.0	15	0.6	g	d
1884	20931227	8086	D009461	g_d	8086_x_D009461	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
1885	20931227	8086	D011115	g_d	8086_x_D011115	16	gene has no relation to disease	12	0.0	16	0.75	g	d
1887	20931227	8086	D012021	g_d	8086_x_D012021	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
1889	20931227	8086	D013958	g_d	8086_x_D013958	15	gene mutation is/may be associated with disease	14	0.0	15	0.9333333333333332	g	d
1893	20931227	8086	D020233	g_d	8086_x_D020233	16	gene mutation is/may be associated with disease	12	0.0	16	0.75	g	d
1896	20931227	8086	D048089	g_d	8086_x_D048089	15	gene mutation is/may be associated with disease	10	0.0	15	0.6666666666666666	g	d
1898	20938724	C057651	D052016	c_d	C057651_x_D052016	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1900	20965426	D010100	D057165	c_d	D010100_x_D057165	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
1903	21029306	C034856	D003920	c_d	C034856_x_D003920	15	c_1_broken	12	0.0	15	0.8	c	d
1907	21029306	C084077	D003920	c_d	C084077_x_D003920	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1911	21074897	C059514	D009410	c_d	C059514_x_D009410	16	drug (may) prevent(s) disease	11	1.0	15	0.7333333333333333	c	d
1915	21074897	C059514	D017096	c_d	C059514_x_D017096	15	drug (may) treat(s) disease	10	0.0	15	0.6666666666666666	c	d
1916	21074897	C077829	D009410	c_d	C077829_x_D009410	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1918	21074897	C077829	D017096	c_d	C077829_x_D017096	15	c_1_broken	8	1.0	14	0.5714285714285714	c	d
1924	21315133	C002968	D018981	c_d	C002968_x_D018981	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
1926	21315133	C013059	D018981	c_d	C013059_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
1927	21315133	C018439	D018981	c_d	C018439_x_D018981	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1929	21315133	C038433	D018981	c_d	C038433_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
1930	21315133	D004286	D018981	c_d	D004286_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
1931	21315133	D009844	D018981	c_d	D009844_x_D018981	15	c_1_broken	15	0.0	15	1.0	c	d
1932	21460210	C457213	D058494	c_d	C457213_x_D058494	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1935	21494549	C046669	D003920	c_d	C046669_x_D003920	16	c_1_broken	13	0.0	16	0.8125	c	d
1938	21494549	C097320	D003920	c_d	C097320_x_D003920	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
1943	21494549	D000117	D003920	c_d	D000117_x_D003920	15	c_1_broken	8	0.0	15	0.5333333333333333	c	d
1949	21494549	D005944	D003920	c_d	D005944_x_D003920	15	drug (may) exacerbate(s) disease	5	0.0	15	0.3333333333333333	c	d
1954	21494549	D005947	D003920	c_d	D005947_x_D003920	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
1959	21494549	D006595	D003920	c_d	D006595_x_D003920	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
1964	21494549	D014530	D003920	c_d	D014530_x_D003920	15	c_1_broken	9	0.0	15	0.6	c	d
1969	21494549	D019289	D003920	c_d	D019289_x_D003920	15	c_1_broken	11	0.0	15	0.7333333333333333	c	d
1973	21494549	D019344	D003920	c_d	D019344_x_D003920	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
1980	21565631	8086	C536008	g_d	8086_x_C536008	15	c_2_broken	8	0.0	15	0.5333333333333333	g	d
1982	21565631	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
1984	21565631	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	12	0.0	15	0.8	g	d
1986	21565631	8086	D000309	g_d	8086_x_D000309	15	gene mutation is/may be associated with disease	11	1.0	14	0.7857142857142857	g	d
1988	21565631	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
1991	21565631	8086	D020022	g_d	8086_x_D020022	15	gene mutation is/may be associated with disease	11	1.0	14	0.7857142857142857	g	d
1993	21565631	8086	D025063	g_d	8086_x_D025063	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d
1995	21565631	8086	D030342	g_d	8086_x_D030342	16	gene mutation is/may be associated with disease	12	0.0	16	0.75	g	d
1996	21615270	C000593135	D019636	c_d	C000593135_x_D019636	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
2000	21615270	D005978	D012735	c_d	D005978_x_D012735	15	c_2_broken	7	0.0	15	0.4666666666666667	c	d
2002	21615270	D005978	D019636	c_d	D005978_x_D019636	15	c_1_broken	6	0.0	15	0.4	c	d
2008	21626165	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d
2010	21626165	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	12	1.0	14	0.8571428571428571	g	d
2014	21626165	8086	D012021	g_d	8086_x_D012021	17	gene mutation is/may be associated with disease	7	1.0	16	0.4375	g	d
2017	21656342	8086	260300	g_d	8086_x_260300	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
2019	21656342	8086	C536008	g_d	8086_x_C536008	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d
2020	21656342	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
2022	21656342	8086	C538104	g_d	8086_x_C538104	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
2024	21656342	8086	C562827	g_d	8086_x_C562827	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d
2025	21656342	8086	D000309	g_d	8086_x_D000309	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d
2028	21656342	8086	D002526	g_d	8086_x_D002526	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
2032	21656342	8086	D003072	g_d	8086_x_D003072	15	gene mutation is/may be associated with disease	11	0.0	15	0.7333333333333333	g	d
2033	21656342	8086	D004194	g_d	8086_x_D004194	15	gene mutation is/may be associated with disease	14	1.0	14	1.0	g	d
2034	21656342	8086	D004700	g_d	8086_x_D004700	16	c_2_broken	6	1.0	15	0.4	g	d
2038	21656342	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	15	0.0	15	1.0	g	d
2039	21656342	8086	D004941	g_d	8086_x_D004941	16	gene mutation is/may be associated with disease	16	0.0	16	1.0	g	d
2040	21656342	8086	D009422	g_d	8086_x_D009422	15	c_2_broken	13	0.0	15	0.8666666666666667	g	d
2045	21656342	8086	D010523	g_d	8086_x_D010523	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
2046	21656342	8086	D012816	g_d	8086_x_D012816	15	c_2_broken	9	0.0	15	0.6	g	d
2050	21656342	8086	D054969	g_d	8086_x_D054969	15	gene mutation is/may be associated with disease	13	0.0	15	0.8666666666666667	g	d
2051	21686524	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	14	1.0	14	1.0	g	d
2052	21686524	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	14	1.0	14	1.0	g	d
2053	21686524	8086	C562827	g_d	8086_x_C562827	16	gene mutation is/may be associated with disease	15	0.0	16	0.9375	g	d
2055	21686524	8086	D000224	g_d	8086_x_D000224	15	c_2_broken	11	0.0	15	0.7333333333333333	g	d
2060	21686524	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	13	1.0	14	0.9285714285714286	g	d
2064	21686524	8086	D005221	g_d	8086_x_D005221	15	gene mutation is/may be associated with disease	8	0.0	15	0.5333333333333333	g	d
2069	21686524	8086	D017495	g_d	8086_x_D017495	15	gene mutation is/may be associated with disease	9	1.0	14	0.6428571428571429	g	d
2071	21686524	8086	D018382	g_d	8086_x_D018382	15	gene mutation is/may be associated with disease	14	1.0	14	1.0	g	d
2074	21686524	8086	D018908	g_d	8086_x_D018908	15	gene mutation is/may be associated with disease	9	1.0	14	0.6428571428571429	g	d
2076	21686524	8086	D030342	g_d	8086_x_D030342	15	c_2_broken	10	0.0	15	0.6666666666666666	g	d
2079	21732316	C014088	D000544	c_d	C014088_x_D000544	15	c_1_broken	13	0.0	15	0.8666666666666667	c	d
2082	21737679	C027693	D007239	c_d	C027693_x_D007239	15	c_1_broken	12	0.0	15	0.8	c	d
2086	21737679	C107241	D007239	c_d	C107241_x_D007239	16	c_1_broken	14	0.0	16	0.875	c	d
2089	21737679	D005947	D007239	c_d	D005947_x_D007239	15	c_1_broken	10	0.0	15	0.6666666666666666	c	d
2092	21737679	D009844	D007239	c_d	D009844_x_D007239	15	c_1_broken	12	0.0	15	0.8	c	d
2094	21737679	D010695	D007239	c_d	D010695_x_D007239	15	c_1_broken	14	0.0	15	0.9333333333333332	c	d
2096	21739997	D011188	C531617	c_d	D011188_x_C531617	16	c_1_broken	13	0.0	16	0.8125	c	d
2098	21739997	D013481	C565957	c_d	D013481_x_C565957	15	c_1_broken	12	0.0	15	0.8	c	d
2105	21744492	8086	C536008	g_d	8086_x_C536008	15	gene mutation is/may be associated with disease	6	0.0	15	0.4	g	d
2107	21744492	8086	C536009	g_d	8086_x_C536009	15	gene mutation is/may be associated with disease	8	1.0	14	0.5714285714285714	g	d
2111	21744492	8086	C562827	g_d	8086_x_C562827	15	gene mutation is/may be associated with disease	8	0.0	15	0.5333333333333333	g	d
2116	21744492	8086	C563939	g_d	8086_x_C563939	15	gene mutation is/may be associated with disease	6	0.0	15	0.4	g	d
2118	21744492	8086	C564052	g_d	8086_x_C564052	15	c_2_broken	8	0.0	15	0.5333333333333333	g	d
2123	21744492	8086	D003072	g_d	8086_x_D003072	15	gene mutation is/may be associated with disease	6	0.0	15	0.4	g	d
2126	21744492	8086	D004931	g_d	8086_x_D004931	15	gene mutation is/may be associated with disease	9	0.0	15	0.6	g	d
2129	21744492	8086	D008607	g_d	8086_x_D008607	15	gene has no relation to disease	10	1.0	14	0.7142857142857143	g	d
2132	21744492	8086	D020361	g_d	8086_x_D020361	15	gene has no relation to disease	7	1.0	14	0.5	g	d
